Company Name,Profile URL,Website,Email
Amazon,https://www.linnworks.com/integrations/amazon/,https://www.amazon.com/,
eBay,https://www.linnworks.com/integrations/ebay/,https://www.ebay.com,
Conjura,https://www.linnworks.com/integrations/conjura/,https://www.conjura.com,
Loop,https://www.linnworks.com/integrations/loop/,https://www.loopreturns.com/,
Shippo,https://www.linnworks.com/integrations/shippo/,https://goshippo.com/,
Shopify,https://www.linnworks.com/integrations/shopify/,https://www.shopify.com,
Temu,https://www.linnworks.com/integrations/temu/,https://seller-eu.temu.com/registration.html?merchant_exclusive_invitation_code=u39d32b356620c11,
TikTok,https://www.linnworks.com/integrations/tiktok/,https://app.skuvault.com/account/login,
Walmart,https://www.linnworks.com/integrations/walmart/,https://seller.walmart.com/signup?q=&origin=solution_provider&src=0016100000YSr3e&locale=en-US,
Amazon Shipping,https://www.linnworks.com/integrations/amazon-shipping/,https://shipping.amazon.co.uk/,
B&Q,https://www.linnworks.com/integrations/b-and-q/,https://www.diy.com/,
BigCommerce,https://www.linnworks.com/integrations/bigcommerce/,https://www.bigcommerce.com,
Etsy,https://www.linnworks.com/integrations/etsy/,https://etsy.com,
Fedex,https://www.linnworks.com/integrations/fedex/,https://app.skuvault.com/account/login,
Inventory Planner,https://www.linnworks.com/integrations/inventory-planner/,https://www.inventory-planner.com/,
Irish Titan,https://irishtitan.com/,https://www.shopify.com/plus,info@irishtitan.com
Midknight Genius,https://www.linnworks.com/integrations/midknight-genius/,https://midknightgenius.com/,
Mirakl,https://www.linnworks.com/integrations/mirakl/,https://www.mirakl.com/,
Optiseller,https://www.linnworks.com/integrations/optiseller/,https://www.optiseller.com,
Pivotal,https://www.linnworks.com/integrations/pivotal/,https://pivotal.digital/,
QuickBooks Online,https://www.linnworks.com/integrations/quickbooks-online/,https://quickbooks.intuit.com/partners/irp/qbo/?cid=irp-32807,
repricer.com,https://www.linnworks.com/integrations/repricer/,https://app.skuvault.com/account/login,
SHEIN Marketplace,https://www.linnworks.com/integrations/shein-marketplace/,https://marketplace.shein.com,
ShipBob,https://www.linnworks.com/integrations/shipbob/,https://www.shipbob.com/,Logos@2x.webp
ShipStation,https://www.linnworks.com/integrations/shipstation/,https://www.shipstation.com/?ref=partner-linnworks,
Swanky Agency,https://bit.ly/3GsGSFm,https://swankyagency.com/privacy-policy/,
Tesco,https://www.linnworks.com/integrations/tesco/,https://www.tesco.com/groceries/en-GB/zone/marketplace,
Virtualstock,https://www.linnworks.com/integrations/virtualstock/,https://www.virtualstock.com/,
Wayflyer,https://www.linnworks.com/integrations/wayflyer/,https://wayflyer.com/en,
adQuadrant,https://www.adquadrant.com/,,
Allegro,https://www.linnworks.com/integrations/allegro/,https://allegro.pl/,
Amazon MCF,https://www.linnworks.com/integrations/amazon-mcf/,https://sell.amazon.co.uk/fulfilment-by-amazon/fba-multi-channel,
Back Market,https://www.linnworks.com/integrations/back-market/,https://www.backmarket.com,
CIRRO Fulfillment,https://www.linnworks.com/integrations/cirro-fulfillment/,https://www.cirrofulfillment.com/?utm_source=Linnworks&utm_medium=Partner_Page,
DBSync,https://www.linnworks.com/integrations/dbsync/,https://www.mydbsync.com/,
Debenhams,https://www.linnworks.com/integrations/debenhams/,https://www.debenhams.com/page/marketplace-brands,
Descartes Peoplevox,https://www.linnworks.com/integrations/descartes-peoplevox/,https://app.skuvault.com/account/login,
Deutsche Post,https://docs.linnworks.com/articles/documentation/deutsche-post-shipping-integration,,
DHL Express,https://docs.linnworks.com/articles/documentation/dhl-express-shipping-integration,,
DHL Parcel UK,https://docs.linnworks.com/articles/documentation/dhl-parcel-uk-shipping-integration,,
DHL USA Direct,https://docs.linnworks.com/articles/documentation/dhl-usa-direct-shipping-integration,,
EasyPost,https://www.linnworks.com/integrations/easypost/,https://www.easypost.com/,
eDesk,https://www.edesk.com/,https://dashboard.edesk.com/login/,josh@contento.io
eBusiness Guru Limited,https://www.linnworks.com/integrations/ebusiness-guru/,https://www.ebusinessguru.co.uk,
Easyship,https://www.linnworks.com/integrations/easy-ship/,https://www.easyship.com,
E-Motive,https://e-motiveonline.com/,https://emotivonline.com,hello@emotivonline.com
eManaged,https://emanaged.co.uk/,https://emanaged.myshopify.com/#results,hello@emanaged.co.uk
EVRi Business account,https://docs.linnworks.com/articles/documentation/evri-business-account-shipping-integration,,
EVRi Corporate,https://docs.linnworks.com/articles/documentation/evri-corporate-shipping-integration,,
FedEx International MailService (FIMS),https://docs.linnworks.com/articles/documentation/fims-shipping-integration,https://www.linnsupport.com/tutorials,
Gierd,https://gierd.com/,https://gierd.app,
Lightspeed,https://www.linnworks.com/integrations/lightspeed/,https://www.lightspeedhq.co.uk/pos/retail/?utm_campaign=Linnworks-landing-page-,
GFS,https://www.linnworks.com/integrations/gfs/,https://www.gfsdeliver.com,
Gorgias,https://www.linnworks.com/integrations/gorgias/,https://www.gorgias.com/,
HomeOutdoor,https://www.linnworks.com/integrations/homeoutdoor/,https://www.homeoutdoor.co.uk,
HyperStock,https://www.linnworks.com/integrations/hyperstock/,https://hyperstock.app/,
Katana MRP,https://www.linnworks.com/integrations/katana/,https://katanamrp.com/,
Klaviyo,https://www.linnworks.com/integrations/klaviyo/,https://www.klaviyo.com/,
Macy’s,https://www.linnworks.com/integrations/macys/,https://www.macys.com/,
LogicBroker,https://www.linnworks.com/integrations/logic-broker/,https://www.logicbroker.com/,
OnBuy,https://www.linnworks.com/integrations/onbuy/,https://www.onbuy.com/gb/,
Optimizon,https://www.optimizon.co.uk/,,
Orange Connex,https://docs.linnworks.com/articles/documentation/orange-connex,https://www.linnsupport.com/tutorials,
Parcelhub,https://docs.linnworks.com/articles/documentation/parcelhub-shipping-integration,https://www.linnsupport.com/tutorials,
Sendclound Returns,https://www.linnworks.com/integrations/sendcloud-returns/,https://www.sendcloud.co.uk/,
Shipwise,https://www.linnworks.com/integrations/shipwise/,https://www.shipwise.com/,
Tyme Online,https://www.tymeonline.com/,,
Amazon Direct Fulfillment,https://www.linnworks.com/integrations/amazon-direct-fulfillment/,https://www.amazon.com,
Lokad,https://www.linnworks.com/integrations/lokad/,https://www.lokad.com/,
Patternica,https://www.linnworks.com/integrations/patternica/,https://patternica.com/,
Payoneer,https://www.linnworks.com/integrations/payoneer/,https://www.payoneer.com,
Mercado Libre,https://docs.linnworks.com/articles/documentation/mercado-libre-channel-integration,https://www.linnsupport.com/tutorials,
Michaels,https://www.linnworks.com/integrations/michaels/,https://www.michaels.com/,
Parcelforce,https://docs.linnworks.com/articles/documentation/parcelforce-shipping-integration,https://www.linnsupport.com/tutorials,
ReadyCloud,https://www.linnworks.com/integrations/ready-cloud/,https://www.readycloud.com/,
refurbed,https://www.linnworks.com/integrations/refurbed/,https://www.refurbed.com/,
Replyco,https://www.linnworks.com/integrations/replyco/,https://replyco.com/,
Reverb,https://www.linnworks.com/integrations/reverb/,https://reverb.com/,
Saks Fifth Avenue,https://www.linnworks.com/integrations/saks-fifth-avenue/,https://www.saksfifthavenue.com/,
Shipbae,https://www.linnworks.com/integrations/shipbae/,https://shipbae.com/,
Shipmate,https://www.linnworks.com/integrations/shipmate/,https://www.shipmate.co.uk/,h-shipping-integration-software@2x-1024x661.png.webp
Shipmonk,https://www.shipmonk.com/,https://www.shipmonk.com/industries/apparel-and-accessories,info@shipmonk.com
ShipWorks,https://www.linnworks.com/integrations/shipworks/,https://www.shipworks.com/,
SHOPLINE,https://www.linnworks.com/integrations/shopline/,https://www.shopline.com,
Shopware,https://docs.linnworks.com/articles/documentation/shopware-channel-integration,https://www.linnsupport.com/tutorials,
