Name,Website,Contact Email
7shifts,www.7shifts.com,support@7shifts.com
ADP DECIDIUM,www.adp.com,taxnoticesetup@adp.com
ADP Next Gen,www.adp.com,taxnoticesetup@adp.com
ADP RUN,www.adp.com,taxnoticesetup@adp.com
ADP Workforce Now,www.adp.com,taxnoticesetup@adp.com
AllianceHCM,alliancehcm.com,Contact via form - no public email
Altera Payroll,alterapayroll.com,NoReply@AlteraPayroll.com
BambooHR,www.bamboohr.com,support@bamboohr.com
Breathe,www.breathehr.com,support@breathehr.com
Cezanne HR,cezannehr.com,info@cezannehr.com
Charlie,www.charliehr.com,support@charliehr.com
ChartHop,www.charthop.com,hello@charthop.com
ClayHR,www.clayhr.com,hello@clayhr.com
CoolCare,coolcare.co.uk,info@coolcare.co.uk
CyberArk,www.cyberark.com,marketplace@cyberark.com
Darwinbox,darwinbox.com,contact@darwinbox.in
Dayforce,www.dayforce.com,enduserhelp@dayforce.com
Deel,www.deel.com,Contact via website - no public email
Employment Hero,employmenthero.com,info@employmenthero.com
Factorial,factorialhr.com,contact@factorialhr.com
Folks HR,folksrh.com,support@folkshr.com
Freshteam,www.freshteam.com,support@freshteam.com
Generic SFTP,N/A,N/A
Google Workspace,workspace.google.com,Contact via admin console
Gusto,gusto.com,support@gusto.com
HR Cloud,www.hrcloud.com,support@hrcloud.com
HR Partner,www.hrpartner.io,support@hrpartner.io
HRWorks,www.hrworks.de,lead-development@hrworks.de
Hailey HR,haileyhr.com,hello@haileyhr.com
Hibob,www.hibob.com,support@hibob.com
Humaans,humaans.io,team@humaans.io
Humi,www.humi.ca,contact@humi.ca
IRIS Cascade,iriscascade.co.uk,Bidteam@iris.co.uk
ISolved,www.isolvedhcm.com,hcmcustomertransition@isolvedhcm.com
Insperity Premier,www.insperity.com,CONTACT_CENTER@INSPERITY.COM
IntelliHR,humanforce.com,investor.relations@intellihr.co
JumpCloud,jumpcloud.com,info@jumpcloud.com
Justworks,www.justworks.com,Contact via website - no public email
Kallidus,www.kallidus.com,info@kallidus.com
Keka,www.keka.com,support@keka.com
Kenjo,www.kenjo.io,marketing@kenjo.io
Lano,www.lano.io,support@lano.io
Lattice HRIS,lattice.com,support@lattice.com
Leapsome,www.leapsome.com,support@leapsome.com
Lucca,www.lucca.fr,Contact via website - no public email
Microsoft Entra ID,www.microsoft.com/security/business/microsoft-entra,Contact via admin center
Namely,namely.com,demo@namely.com
Nmbrs,www.nmbrs.com,sales@nmbrs.com
Officient,www.officient.io,Contact via website - no public email
Okta,www.okta.com,info@okta.com
OneLogin,www.onelogin.com,support@onelogin.com
Oracle Cloud Human Capital Management (HCM),www.oracle.com,Contact via support portal
OysterHR,www.oysterhr.com,hello@oysterhr.com
PayCaptain,www.paycaptain.com,Contact via website - no public email
PayFit,payfit.com,security@payfit.com
Paychex,www.paychex.com,social_media@paychex.com
Paycom,www.paycom.com,learnmore@paycomonline.com
Paycor,www.paycor.com,support@paycor.com
Paylocity,www.paylocity.com,service@paylocity.com
PeopleHR,www.peoplehr.com,hi@peoplehr.com
Personio,www.personio.com,hello@personio.com
PingOne,www.pingidentity.com,sales@pingidentity.com
Planday,www.planday.com,Contact via website - no public email
PrismHR,www.prismhr.com,activation@prismhr.com
Proliant,www.proliant.com,Contact via website - no public email
Remote,remote.com,sales@remote.com
Revolut People,www.revolut.com/people/,Contact via website - no public email
Rippling,www.rippling.com,support@rippling.com
SAP SuccessFactors,www.sap.com,Contact via support portal
Sage HR,www.sage.com,Contact via live chat only
Sage People,www.sage.com,Contact via website - no public email
Sesame,www.sesamehr.com,hola@sesamehr.com
Simployer,www.simployer.com,invoicePL@simployer.com
Square Payroll,squareup.com,Contact via support portal
TriNet,www.trinet.com,Connect360@TriNet.com
TriNet HR Platform,www.trinet.com,Connect360@TriNet.com
UKG Pro,www.ukg.com,contactus@ukg.com
UKG Pro Workforce Management,www.ukg.com,contactus@ukg.com
UKG Ready,www.ukg.com,contactus@ukg.com
Workday,www.workday.com,privacy@workday.com
Zelt,zelt.app,info@zelt.app
Zoho People,www.zoho.com/people/,support@zohopeople.com
